,id
1258,8178449560
1259,8178427331
1260,8178416582
1261,8178396014
1262,8178336438
1263,8178331701
1264,8178293395
1265,8178287873
1266,8178223689
1267,8178217730
1268,8178209050
1269,8178198896
1270,8178089669
1271,8178082411
1272,8178071101
1273,8178054279
1274,8177993088
1275,8177979992
1276,8177972205
1277,8177966388
1278,8177873642
1279,8177872455
1280,8177857062
1281,8177855729
1282,8177795894
1283,8177795770
1284,8177793345
1285,8177788900
1286,8177179626
1287,8177175505
1288,8177162198
1289,8177140322
1290,8177098226
1291,8177094101
1292,8177081974
1293,8177042833
1294,8176998187
1295,8176972698
1296,8176962465
1297,8176953517
1298,8176866692
1299,8176853920
1300,8176853300
1301,8176853271
1302,8176738386
1303,8176702303
1304,8176691519
1305,8176690425
1306,8176593686
1307,8176568607
1308,8176568556
1309,8176544132
1310,8176424546
1311,8176421766
1312,8176419599
1313,8176418029
1314,8176333219
1315,8176331185
1316,8176324556
1317,8176318378
1318,8167026758
1319,8166926204
1320,8166786518
1321,8165579487
1322,8165439859
1323,8165299759
1324,8165179774
1325,8165034195
1326,8163906923
1327,8163850148
1328,8163703042
1329,8163591582
1330,8163474975
1331,8162617010
1332,8162545060
1333,8162405860
1334,8162289260
1335,8162191607
1336,8162009134
1337,8161073030
1338,8160957815
1339,8160817625
1340,8160739649
1341,8159714075
1342,8159639220
1343,8159638777
1344,8159563182
1345,8159555596
1346,8159486926
1347,8159445429
1348,8159395626
1349,8159343473
1350,8159295213
1351,8159241688
1352,8159211297
1353,8159143130
1354,8159140708
1355,8159068716
1356,8159047339
1357,8159015376
1358,8158998679
1359,8158957269
1360,8158956336
1361,8157135083
1362,8157051075
1363,8156955775
1364,8156823991
1365,8156671486
1366,8156403825
1367,8156282450
1368,8155319277
1369,8155167734
1370,8155042237
1371,8154891997
1372,8154726991
1373,8154628624
1374,8153857456
1375,8153722204
1376,8153569636
1377,8153470879
1378,8153368922
1379,8153251090
1380,8153157627
1381,8151005003
1382,8150907523
1383,8150769089
1384,8150673606
1385,8150116696
1386,8150069347
1387,8150023938
1388,8149920414
1389,8149830853
1390,8149752761
1391,8149613538
1392,8149499666
1393,8149391054
1394,8149255408
1395,8149174253
1396,8149116781
1397,8148453745
1398,8148388558
1399,8148253364
1400,8148158487
1401,8148010401
1402,8147921295
1403,8147862331
1404,8147353230
1405,8147284998
1406,8147188311
1407,8147143797
1408,8147071759
1409,8147052633
1410,8146957560
1411,8146921395
1412,8146851882
1413,8146811702
1414,8146702057
1415,8146694683
1416,8146556130
1417,8146544018
1418,8146456651
1419,8146452564
1420,8145363518
1421,8145270251
1422,8145248822
1423,8145135669
1424,8145077805
1425,8144988222
1426,8144938472
1427,8144901175
1428,8144794564
1429,8144755939
1430,8144683919
1431,8144660140
1432,8143939006
1433,8143901956
1434,8143801061
1435,8143798704
1436,8143668956
1437,8143661431
1438,8143516246
1439,8143511831
1440,8143334361
1441,8143254721
1442,8143169444
1443,8143150050
1444,8143081862
1445,8143045634
1446,8142981801
1447,8142981335
1448,8108139750
1449,8082925992
1450,8082746959
1451,8082619844
1452,8082529700
1453,8082397846
1454,8082298912
1455,8082223614
1456,8081398148
1457,8081265971
1458,8081123387
1459,8080947274
1460,8080862140
1461,8080792538
1462,8080662959
1463,8080604817
1464,8079759171
1465,8079670064
1466,8079490782
1467,8079370474
1468,8079327920
1469,8079228550
1470,8079176651
1471,8078156582
1472,8078097515
1473,8078037126
1474,8077976291
1475,8077928766
1476,8077886942
1477,8076729568
1478,8076724211
1479,8076719134
1480,8076678994
1481,8076678701
1482,8076673172
1483,8076614342
1484,8076593762
1485,8076592658
1486,8076554117
1487,8076552500
1488,8076547996
1489,8075790639
1490,8075778323
1491,8075747582
1492,8075666466
1493,8075652637
1494,8075632430
1495,8075556760
1496,8075538554
1497,8075534858
1498,8075462423
1499,8075461435
1500,8075460655
1501,8075388868
1502,8075367633
1503,8075346280
1504,8075328328
1505,8075323060
1506,8075304964
1507,8075265693
1508,8075262198
1509,8075255485
1510,8075230140
1511,8075224556
1512,8075216601
1513,8074393917
1514,8074384273
1515,8074371738
1516,8074280711
1517,8074269552
1518,8074260317
1519,8074180689
1520,8074177986
1521,8074149488
1522,8074108697
1523,8074107528
1524,8074106381
1525,8074019964
1526,8074012657
1527,8074001182
1528,8073974695
1529,8073964124
1530,8073961161
1531,8073920592
1532,8073914411
1533,8073911615
1534,8073876622
1535,8073875155
1536,8073874912
1537,8063200834
1538,8063069899
1539,8062945076
1540,8062807181
1541,8061396001
1542,8061294743
1543,8061100515
1544,8060944213
1545,8059708053
1546,8059599922
1547,8059395636
1548,8059269676
1549,8058358558
1550,8058249772
1551,8058124306
1552,8058023635
1553,8057869002
1554,8057125074
1555,8056960913
1556,8056889752
1557,8056728116
1558,8056585402
1559,8056476228
1560,8055489134
1561,8055385235
1562,8055384655
1563,8055285102
1564,8055284959
1565,8055231335
1566,8055187485
1567,8055089269
1568,8055088008
1569,8054965291
1570,8054936496
1571,8054861702
1572,8054846912
1573,8054769333
1574,8054761555
1575,8054705111
1576,8054665063
1577,8054644399
1578,8054595004
1579,8054594883
1580,8029756021
1581,8029647109
1582,8029499964
1583,8029364010
1584,8029070932
1585,8028916514
